Pond,Date,Time,Temp_degC,DO_mg.L,Depth_m,SPC_uS.cm,pH,Redox_mV,DO_perc,Sal_ppt,,
Gursky,1993-07-21,,19.12,10.25,0.9,0.83,8.59,325,117.7,0.4,,
Gursky,1993-07-21,,18.93,9.82,1.5,0.83,8.58,330,112.3,0.4,,
Gursky,1993-07-21,,18.81,9.14,2,0.83,8.58,331,104.3,0.4,,
Gursky,1993-07-21,,18.83,8.78,2.4,0.83,8.57,333,100.2,0.4,,
1,1993-07-22,18:05:00,20.38,10.8,0,2.11,8.89,215,127.8,1.1,,
1,1993-07-22,,20.24,10.82,0.2,2.14,8.91,186,127.7,1.1,,
1,1993-07-22,,20.05,10.22,0.5,2.14,8.87,152,120,1.1,,
65,1993-07-22,16:07:00,20.71,8.14,0,3.47,8.04,229,97.4,1.9,,
65,1993-07-22,,20.09,5.29,0.3,3.52,7.94,198,62.5,1.9,,
65,1993-07-22,,19.79,4.85,0.6,3.49,7.84,150,53.9,1.9,,
66,1993-07-22,15:49:00,21.73,8.06,0,23.1,9.35,285,105.9,13.9,,
67,1993-07-22,16:53:00,22.03,9.33,0,5.42,8.09,281,115.3,3,,
67,1993-07-22,,21.03,7.97,0.3,5.94,7.97,181,77.5,3.3,,
86,1993-07-22,15:13:00,18.49,2.67,0,0.35,6.72,274,30.2,0.2,,
86,1993-07-22,,17.15,0.8,0.3,0.37,6.54,257,8.8,0.2,,
4857,1993-07-22,17:27:00,20.17,10.04,0,0.74,8.2,282,117.7,0.4,,
4857,1993-07-22,,20.17,9.93,0.3,0.76,8.2,284,116.3,0.4,,
4857,1993-07-22,,20.12,9.48,0.5,0.76,8.16,272,111,0.4,,
4857,1993-07-22,,19.45,4.45,0.9,0.78,7.74,111,51.4,0.4,,
1,1993-08-04,16:31:00,22.01,14.92,0.1,2.2,9.18,294,182.2,1.2,,
1,1993-08-04,,20.63,13.77,0.3,2.23,8.87,304,163.7,1.2,,
1,1993-08-04,,20.19,13.6,0.5,2.22,8.83,300,160.3,1.2,,
1,1993-08-04,,18.39,10.77,0.8,2.27,8.65,249,122.5,1.2,,
25,1993-08-04,15:24:00,21.15,12.42,0.1,1.76,8.36,288,148.9,0.9,,
25,1993-08-04,,17.37,3.63,0.5,1.83,7.51,296,40.4,1,,
50,1993-08-04,16:05:00,19.38,2.27,0.1,4.96,7.3,350,26.6,2.7,,
65,1993-08-04,15:18:00,19.05,7.44,0.1,3.73,7.97,238,86.2,2,,
65,1993-08-04,,17.88,5.62,0.4,3.71,7.79,173,63.5,2,,
65,1993-08-04,,17.47,5.11,0.7,3.78,7.75,147,57.3,2.1,,
66,1993-08-04,15:05:00,23.7,13.02,0.2,30.6,9.68,286,183,19,,
67,1993-08-04,14:43:00,21.24,8.37,0.1,2.34,7.99,282,100.7,1.3,,
67,1993-08-04,,19.76,6.7,0.3,6.45,7.9,227,79.6,3.6,,
86,1993-08-04,17:35:00,18.51,4.44,0.1,0.38,7.05,317,50.3,0.2,,
86,1993-08-04,,14.39,1.72,0.3,0.4,6.89,315,17.8,0.2,,
90,1993-08-04,17:10:00,20.42,9.36,0.2,8.73,7.64,107,113.5,4.9,,
4857,1993-08-04,14:26:00,19.78,11.78,0.1,0.8,8.52,320,137,0.4,,
4857,1993-08-04,,19.47,12.04,0.4,0.8,8.52,316,139.1,0.4,,
4857,1993-08-04,,19.09,11.28,0.7,0.8,8.46,301,129.4,0.4,,
Gursky,1993-08-04,18:23:00,19.14,5.58,0.1,0.82,8.39,314,64.1,0.4,,
Gursky,1993-08-04,,19.16,5.48,0.4,0.83,8.39,314,63,0.4,,
Gursky,1993-08-04,,19.1,5.15,0.7,0.83,8.39,314,59.1,0.4,,
Gursky,1993-08-04,,18.61,3.46,1.1,0.83,8.31,317,39.3,0.4,,
Gursky,1993-08-04,,18.51,3.16,1.4,0.83,8.3,317,35.9,0.4,,
Gursky,1993-08-04,,18.08,2.4,1.6,0.83,8.26,319,26.9,0.4,,
Gursky,1993-08-04,,17.94,2.01,1.9,0.83,8.25,320,22.5,0.4,,
Gursky,1993-08-04,,17.76,1.47,2.2,0.83,8.23,320,16.4,0.4,,
Gursky,1993-08-04,,17.54,0.88,2.5,0.84,8.21,321,9.8,0.4,,
Gursky,1993-08-04,,17.4,0.24,2.7,0.84,8.17,320,2.7,0.4,,
1,1993-08-18,12:40:00,17.71,5.72,0,2.17,8.03,440,64,1.2,,
1,1993-08-18,,17.59,5.64,0.2,2.21,8.09,435,63,1.2,,
1,1993-08-18,,17.49,5.5,0.6,2.2,8.1,433,61.3,1.2,,
1,1993-08-18,,17.49,5.38,0.7,2.26,8.1,431,59.9,1.2,,
25,1993-08-18,15:02:00,18.76,9.31,0,1.77,7.88,321,106.2,0.9,,
25,1993-08-18,,17.35,5.08,0.4,1.82,7.59,332,56.3,1,,
50,1993-08-18,15:38:00,19.07,4.28,0,4.58,7.28,390,49.7,2.5,,
65,1993-08-18,14:25:00,17.88,3.86,0,3.64,7.73,244,43.6,2,,
65,1993-08-18,,17.33,3.41,0.2,3.67,7.76,246,38,2,,
65,1993-08-18,,17.15,2.79,0.5,3.66,7.76,246,31,2,,
66,1993-08-18,14:12:00,20.05,10.11,0,28.8,9.52,390,131.4,17.7,,
67,1993-08-18,13:19:00,18.22,5.09,0,6.38,7.84,327,58.4,3.5,,
67,1993-08-18,,17.82,4.03,0.2,6.43,7.84,236,45.9,3.6,,
86,1993-08-18,16:41:00,17.13,5.5,0,0.37,7.07,391,60.4,0.2,,
86,1993-08-18,,0.2,2.01,0.2,0.38,6.8,324,21.3,0.2,,
90,1993-08-18,,20.78,4.08,0,8.12,7.34,119,49.7,4.5,,
4857,1993-08-18,12:21:00,16.96,7.89,0,0.83,7.98,403,83.2,0.4,,
4857,1993-08-18,,16.95,7.48,0.3,0.83,7.98,403,81.9,0.4,,
4857,1993-08-18,,16.95,7.29,0.6,0.83,7.96,392,79.9,0.4,,
Gursky,1993-08-19,12:31:00,20.12,12.97,0,0.82,8.56,299,151.6,0.4,,
Gursky,1993-08-19,12:33:00,19.24,12.49,0.2,0.82,8.58,303,143.4,0.4,,
Gursky,1993-08-19,12:34:00,18.86,11.34,0.4,0.82,8.57,307,129.2,0.4,,
Gursky,1993-08-19,12:35:00,18.39,8.1,0.6,0.83,8.48,311,91.4,0.4,,
Gursky,1993-08-19,12:36:00,18.06,7.19,0.8,0.83,8.36,316,80.6,0.4,,
Gursky,1993-08-19,12:37:00,17.99,6.66,1,0.84,8.34,317,74.6,0.4,,
Gursky,1993-08-19,12:37:00,17.93,6.08,1.2,0.84,8.32,318,68,0.4,,
Gursky,1993-08-19,12:38:00,17.84,5.47,1.4,0.84,8.29,320,61.1,0.4,,
Gursky,1993-08-19,12:39:00,17.82,5.15,1.6,0.84,8.28,320,57.5,0.4,,
Gursky,1993-08-19,12:40:00,17.81,5,1.8,0.84,8.27,321,55.7,0.4,,
Gursky,1993-08-19,12:40:00,17.79,4.6,2.1,0.84,8.26,322,51.3,0.4,,
Gursky,1993-08-19,12:41:00,17.77,4.39,2.2,0.84,8.24,323,48.9,0.4,,
Gursky,1993-08-19,12:42:00,17.77,4.11,2.4,0.84,8.23,324,45.8,0.4,,
Gursky,1993-08-19,12:43:00,17.72,3.17,2.7,0.84,8.19,325,35.3,0.4,,
1,1993-08-27,15:21:00,19.81,9.51,0.1,2.25,8.73,261,110.4,1.2,,
1,1993-08-27,15:21:00,19.36,9.11,0.4,2.25,8.67,265,104.9,1.2,,
1,1993-08-27,15:22:00,18.73,9.38,0.6,2.24,8.68,267,106.5,1.2,,
25,1993-08-27,13:44:00,17.98,7.35,0.1,1.81,7.84,211,82.1,1,,
25,1993-08-27,13:45:00,15.86,5.09,0.4,1.85,7.36,232,54.4,1,,
50,1993-08-27,14:13:00,18.83,3.28,0.1,4.7,7.59,305,37.7,2.6,,
65,1993-08-27,13:18:00,18.98,3.6,0.1,3.77,7.75,238,41.4,2,,
65,1993-08-27,13:18:00,16.91,1.77,0.4,3.8,7.64,232,19.5,2.1,,
65,1993-08-27,13:20:00,16.59,2.18,0.7,3.77,7.6,166,23.9,2.1,,
66,1993-08-27,13:12:00,21.06,13.06,0.2,32.5,9.82,251,174.8,20.3,,
67,1993-08-27,12:22:00,18.93,4.79,0.1,6.72,7.89,207,55.5,3.7,,
67,1993-08-27,12:22:00,16.09,3.11,0.4,7.01,7.79,193,34,3.9,,
86,1993-08-27,14:59:00,15.34,2.97,0.1,0.42,6.94,301,31.3,0.2,,
86,1993-08-27,15:00:00,14,1.9,0.2,0.42,6.86,285,19.4,0.2,,
90,1993-08-27,14:37:00,18.15,9.66,0.1,9.51,7.28,262,111.5,5.4,,
4857,1993-08-27,11:49:00,17.18,5.66,0.1,0.86,7.87,340,62,0.4,,
4857,1993-08-27,11:50:00,16.86,5.39,0.4,0.85,7.81,341,58.7,0.4,,
4857,1993-08-27,11:52:00,15.57,5.44,0.7,0.86,7.78,327,57.6,0.4,,
4857,1993-08-27,11:53:00,15.71,4.9,1,0.86,7.72,325,52,0.4,,
Gursky,1993-08-27,16:17:00,16.9,4.1,2.7,0.84,8.35,301,44.6,0.4,,
Gursky,1993-08-27,16:18:00,17.01,4.98,2.1,0.84,8.4,300,54.3,0.4,,
Gursky,1993-08-27,16:19:00,17.08,5.68,1.6,0.83,8.43,299,62.1,0.4,,
Gursky,1993-08-27,16:23:00,17.49,6.71,1.1,0.83,8.52,300,73.9,0.4,,
Gursky,1993-08-27,16:29:00,18.35,9.68,0.9,0.82,8.68,302,108.6,0.4,,
Gursky,1993-08-27,16:31:00,19.02,14.03,0.6,0.81,8.8,300,159.6,0.4,,
Gursky,1993-08-27,16:33:00,20.02,,0.4,0.81,8.94,298,,0.4,,
Gursky,1993-08-27,16:34:00,20.43,,0.1,0.8,8.94,298,,0.4,,
1,1993-09-15,15:26:00,10.41,13.65,0,2.13,8.92,279,129.4,1.1,,
1,1993-09-15,15:27:00,10.34,13.62,0.4,2.2,8.93,278,129,1.2,,
25,1993-09-15,13:50:00,10.94,15.49,0,1.6,8.53,251,148.4,0.8,,
25,1993-09-15,13:51:00,8.79,12.62,0.1,1.68,8.25,254,114.9,0.9,,
50,1993-09-15,13:06:00,12.5,2.32,0,4.94,7.22,97,23.3,2.7,,
65,1993-09-15,11:54:00,9.83,10.95,0,3.43,8.33,291,103,1.9,,
65,1993-09-15,11:55:00,9.37,10.62,0.4,3.44,8.35,274,98.7,1.9,,
66,1993-09-15,12:04:00,11.74,9.21,0,26.7,9.15,256,99.2,16.3,,
