Pond,Date,Water_level_m,Year
109,16-Oct,1.18,1996
4857,08-May,0.375,1996
4857,10-Jun,0.38,1996
4857,09-Jul,0.36,1996
4857,13-Aug,0.53,1996
4857,18-Sep,0.5,1996
4857,15-Oct,Not Measured,1996
6642,09-May,No Bar,1996
6642,11-Jun,No Bar,1996
6642,10-Jul,No Bar,1996
6642,14-Aug,No Bar,1996
6642,19-Sep,No Bar,1996
6642,16-Oct,No Bar,1996
Gursky's,11-Jun,No Bar,1996
Gursky's,10-Jul,No Bar,1996
Gursky's,13-Aug,No Bar,1996
Gursky's,18-Sep,No Bar,1996
Gursky's,15-Oct,No Bar,1996
