"pond_id","Region","sample_date","pH","Fe (mg/L)","SO4 (mg/L)","DOC (mg/L)","DOC (mg/L) (0.45 Filter)","Abs254nm (1.2 filter)","Abs254nm (0.45 filter)","SUVA","Bottle # (PCO2)","Whole Water THg (ng/L)","Whole Water MeHg (ng/L)","MeHg Std Err","%MeHg","CO2 (umol/L)","CH4 (umol/L)","DIC (mg/L)","DIC (mg/L) (0.45 Filter)","TDC (mg/L) (DIC+DOC)","ChlA","DataSource","water temp C","Conductivity_uS_cm","DO (%)","DO (mg/L)","Secchi (cm)","Secchi on the ground?","ORP","Air temp C","Cloud %","Vegetation","analyzing_date","Abs250nm (0.45 filter)","Abs280nm (0.45 filter)","Abs350nm (0.45 filter)","Abs365nm (0.45 filter)","Abs370nm (0.45 filter)","Abs250nm (1.2 filter)","280 nmAbs280nm (1.2 filter)","Abs350nm (1.2 filter)","Abs365nm (1.2 filter)","Abs370nm (1.2 filter)","Time","TRP MDL = .00567","SRP MDL =.00567","TDP MDL = .0041","TP MDL = 0.0041","NH3 MDL = .021","UREA MDL = .0202","NO3 MDL = .0073","TN MDL = .0447","SO4 MDL = 1.015","Alk MDL = 3.16","TDN MDL = 0.0447","Site","Replicate","Weight (g)","Height","Hg [ng]","Concentration (µg/kg)","Latitude","Longitude","CLASS","Other Observation","Comments"
"2","SDNWA","2010-07-05",7.79,NA,NA,NA,45.69,NA,NA,2.435543883,NA,5.3384,1.862,NA,34.87167455,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"109","SDNWA","2010-07-06",7.06,NA,NA,NA,20.9,NA,NA,3.435550239,NA,11.2958,2.231,NA,19.75065963,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2010-07-06",6.39,NA,NA,NA,24.03,NA,NA,4.077320017,NA,4.9498,0.343,NA,6.929512674,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"1","SDNWA","2010-08-04",8.45,NA,NA,NA,22.64,NA,NA,2.942314488,NA,2.3234,0.235,NA,10.11030533,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2010-08-04",7.97,NA,NA,NA,50.34,NA,NA,2.936034962,NA,3.5024,0.879,NA,25.08592603,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"109","SDNWA","2010-08-04",6.63,NA,NA,NA,29.12,NA,NA,2.970432692,NA,8.2301,1.714,NA,20.82967999,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.08574700556,52.2087749369114,3,NA,NA
"118","SDNWA","2010-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
"1","SDNWA","2011-05-31",8.18,NA,NA,NA,29.61,NA,NA,NA,88,1.04,1.32,NA,127.6714976,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.090051039219,52.213064598347,5,NA,NA
"2","SDNWA","2011-05-31",8.16,NA,NA,NA,52.85,NA,NA,NA,91,0.99,0.09,NA,9.532994924,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.087829758726,52.214974949291,3,NA,NA
"118","SDNWA","2011-05-31",6.86,NA,NA,NA,21.2,NA,NA,NA,108,2.12,0.5,NA,23.3490566,NA,NA,NA,NA,NA,NA,"U of R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.084401628984,52.2096664020324,3,NA,NA
