WEVS 1995 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951069,66,14-Aug-95 ,226,1110,42993.92075,33100,198.00,148,,0,,50,0.025,0.354,,9.240,1.27,7.97,0,0.01,318,0,7.71,0,0,5950,0,4820,2,0.006,1.02,0.248,0.772,31000,477,360,194,7.3,167.0,22.8,222.7,,,,,,,,,,,,,,,,,,,,,,,
951243,66,28-Aug-95 ,240,1205,51142.7,37900,184.60,160,484.4,69.96,2.4,24.6,L0.01!,0.36,0.01,4.780,1.17,3.61,0,0.01,514,58.3,8.6,23795.5,23281.5,7250,39.3,5610,1.29,0.026,0.604,0.271,0.333,36800,467,426,280,7.9,190.5,24.0,93.5,,,,,,,,,,,,,,,,,,,,,,,
951334,66,12-Sep-95 ,255,1035,,,217.97,210,,,,7.97,L0.01!,0.54,0,3.240,1.93,1.31,0,,,,,,,,,,,0.03,0.546,0.372,0.174,,,,,7.1,118.1,16.6,34.9,,,,,,,,,,,,,,,,,,,,,,,
951821,66,17-Oct-95 ,290,1300,,,210.50,186,,,,24.5,L0.01!,1.6,0,4.270,1.23,3.04,0,,,,,,,,,,,0.023,0.771,0.319,0.452,,,,,9.4,139.8,14.9,95.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950353,67,30-May-95 ,150,1400,4306.03746,4960,54.82,54.5,746,0,16.64,0.324,0.022,2.33,0.01,3.577,3.52,0.057,0,0.04,612,0,7.85,2694,2082,383,23.1,547,10.5,0.163,0.257,0.253,0.004,2690,71.6,59.6,177,6.6,208.9,31.5,2.7,,,,,,,,,,,,,,,,,,,,,,,
950580,67,20-Jun-95 ,171,1100,5218.26961,5660,69.57,69.2,808.2,0,14.97,0.365,0.027,0.339,,2.793,2.71,0.083,0,0.05,663,0,7.93,3102.4,2439.4,471,24.3,645,9.3,0.169,0.276,0.266,0.010,3360,82.9,73.1,179,5.1,94.1,18.4,10.8,,,,,,,,,,,,,,,,,,,,,,,
950725,67,12-Jul-95 ,193,1015,1475.33,2019,66.58,66.326,,0,,0.254,L0.01!,0.139,,2.494,2.438,0.056,0,0.13,377,0,8.18,0,0,86.7,0,168,32.7,0.06,0.152,0.142,0.010,748,24.7,82.9,106,5.3,65.5,12.4,3.2,,,,,,,,,,,,,,,,,,,,,,,
950848,67,25-Jul-95 ,206,1330,5819.45,6250,230.80,211,,0,,19.8,L0.01!,0.49,,4.750,1.62,3.13,0,0.04,610,0,8.2,0,0,542,0,751,3.01,0.021,0.634,0.371,0.263,3830,87.2,80.2,160,7.4,194.1,26.3,6.8,,,,,,,,,,,,,,,,,,,,,,,
951067,67,14-Aug-95 ,226,1000,5016.12,6040,68.46,66.4,,0,,2.06,L0.01!,0.077,,2.857,2.61,0.247,0,0.02,547,0,8.24,0,0,502,0,686,7.6,0.014,0.119,0.083,0.036,3200,78.7,76.6,137,9.7,147.6,15.2,1.5,,,,,,,,,,,,,,,,,,,,,,,
951241,67,28-Aug-95 ,240,1135,6166.96,6380,68.73,68.2,587.6,49.2,5.24,0.533,L0.01!,0.072,0,2.813,2.68,0.133,0,0.01,564,41,8.31,3538.8,2974.8,562,25.1,771,9.65,0.007,0.124,0.081,0.043,4166,90.1,83.8,146,4.7,32.0,6.8,1.1,,,,,,,,,,,,,,,,,,,,,,,
951333,67,12-Sep-95 ,255,1010,,,73.63,73.3,,,,0.331,L0.01!,0.064,0,3.269,3.22,0.049,0,,,,,,,,,,,0.006,0.095,0.085,0.010,,,,,7.9,85.4,10.8,1.9,,,,,,,,,,,,,,,,,,,,,,,
951820,67,17-Oct-95 ,290,1245,,,73.24,72.7,,,,0.544,L0.01!,0.128,0,3.784,3.7,0.084,0,,,,,,,,,,,0.002,0.083,0.065,0.018,,,,,7.6,77.9,10.3,8.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950358,86,31-May-95 ,151,1115,310.59,537,45.46,39.8,312.1,0,21.13,5.66,L0.01!,0.016,,3.574,2.77,0.804,0,0.14,256,0,7.37,247.1,0,5.05,3.6,30.6,14.7,0.776,1.99,0.951,1.039,8.5,13.3,36.2,48.5,8.2,14.0,1.7,14.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950357,90,31-May-95 ,151,1045,10371.5,10519,77.65,76.8,698.5,0,11.79,0.852,L0.01!,0.073,,3.200,3.01,0.19,0,0.02,573,0,7.97,5836.5,5263.5,1060,27.5,1320,0.68,0.012,0.117,0.06,0.057,7048,251,187,161,5.2,38.5,7.4,8.7,,,,,,,,,,,,,,,,,,,,,,,
950584,90,20-Jun-95 ,171,1500,12067.03,12100,90.89,89.7,808.2,0,15.32,1.19,L0.01!,0.098,,4.273,3.99,0.283,0,0.01,663,0,7.92,6813.3,6150.3,1240,27.6,1570,1.22,0.014,0.125,0.073,0.052,8220,276,222,140,4.9,59.0,12.0,27.1,,,,,,,,,,,,,,,,,,,,,,,
950729,90,12-Jul-95 ,193,1210,1018.07215,1527,120.54,111.921,,0,,8.62,0.005,1.09,,5.356,3.576,1.78,0,0.15,519,0,7.64,0,0,39.3,0,134,52.6,0.034,0.37,0.19,0.180,326,16.6,33,105,5.6,123.5,21.9,79.8,,,,,,,,,,,,,,,,,,,,,,,
950852,90,25-Jul-95 ,206,1500,20587.75873,17300,147.90,132,,0,,15.9,0.011,0.239,,5.030,2.38,2.65,0,0.03,1054,0,8.1,0,0,2020,0,2670,3.28,0.019,0.4,0.152,0.248,14300,418,351,193,7.0,165.3,23.6,128.4,,,,,,,,,,,,,,,,,,,,,,,
951071,90,14-Aug-95 ,226,1200,12327.83,12600,101.90,84.5,,0,,17.4,L0.01!,0.141,,6.220,3.68,2.54,0,0.01,711,0,7.46,0,0,1300,0,1680,5.22,0.002,0.332,0.083,0.249,8280,272,229,135,8.0,180.2,22.6,133.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950359,109,31-May-95 ,151,1215,224.82,391,33.22,30.9,190.2,0,18.63,2.32,L0.01!,0.035,,2.948,2.56,0.388,0,0.1,156,0,7.21,144.5,0,2.25,2.4,16.6,4.47,1.99,2.38,2.16,0.220,23.6,11.6,42.1,30.5,7.0,27.2,3.9,18.8,,,,,,,,,,,,,,,,,,,,,,,
950585,109,20-Jun-95 ,171,1240,217.62,395,52.70,35.6,179.2,0,40.25,17.1,L0.01!,0.212,,5.640,2.58,3.06,0,0.11,147,0,6.85,138.1,0,2.49,2.8,15.9,16.5,3.21,4.08,3.45,0.630,15.1,9.42,40.8,29.1,6.5,70.0,10.7,192,,,,,,,,,,,,,,,,,,,,,,,
