DATA table Built from table WEVS_96 on 27-FEB-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Station,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,,,,,,,,,,,,,,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960352,60,09-May-96 ,130,1439,102.00,173.00,21.49,21.10,88.70,0.00,10.95,0.39,L0.010,0.01,0.00,0.76,0.70,0.07,0.00,0.02,72.80,0.00,7.11,61.80,0.00,0.20,0.50,6.09,8.13,0.49,0.59,0.59,0.007,6.50,2.76,20.30,14.70,7.018,144.158,20.541,,,,,,,,,,,,,,,
960511,60,11-Jun-96 ,163,0900,135.00,232.00,27.38,26.60,112.30,0.00,16.28,0.78,L0.010,0.10,0.00,1.91,1.77,0.14,0.00,0.04,92.10,0.00,7.04,89.20,0.00,0.16,0.30,9.18,16.20,1.14,2.09,1.93,0.160,5.90,3.11,24.70,20.60,6.287,12.517,1.991,4.46,,,,,,,,,,,,,,
960815,60,09-Jul-96 ,191,1620,142.00,239.00,27.75,22.70,116.00,0.00,15.70,5.05,L0.010,0.02,0.00,2.58,1.72,0.86,0.00,0.03,95.20,0.00,7.07,91.70,0.00,0.23,0.40,8.98,21.50,1.00,1.30,1.06,0.240,5.10,2.94,23.90,21.90,6.875,54.305,7.899,43.61,,,,,,,,,,,,,,
961096,60,13-Aug-96 ,226,1525,185.00,302.00,34.60,23.40,162.10,0.00,23.50,11.20,L0.010,0.16,0.00,3.30,1.73,1.57,0.00,0.02,133.00,0.00,7.04,116.50,0.00,0.54,0.80,10.70,25.80,1.21,1.91,1.24,0.670,4.80,4.49,30.30,29.00,8.323,43.142,5.184,63.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960342,65,08-May-96 ,129,1500,877.00,1306.00,16.99,16.30,241.40,0.00,5.64,0.69,L0.010,0.09,0.00,1.24,1.11,0.13,0.00,0.04,198.00,0.00,7.83,530.60,332.60,83.10,24.60,100.00,4.78,0.00,0.06,0.04,0.019,489.00,14.90,18.50,47.60,6.276,94.268,15.019,4.87,,,,,,,,,,,,,,
960513,65,11-Jun-96 ,163,1000,,,,73.90,,,,1.03,L0.010,0.27,,,3.38,0.19,,,,,,,,,,,,0.02,0.22,0.19,,,,,,6.291,NC,NC,3.1,,,,,,,,,,,,,,
960822,65,10-Jul-96 ,192,1030,1661.00,2280.00,30.64,28.50,469.30,0.00,14.15,2.14,L0.010,0.04,0.00,2.13,1.79,0.34,0.00,0.06,385.00,0.00,7.72,1037.10,652.10,160.00,24.50,200.00,13.90,0.01,0.09,0.06,0.026,913.00,27.10,30.50,85.60,7.387,212.422,28.758,12.34,,,,,,,,,,,,,,
961099,65,14-Aug-96 ,227,0915,2224.00,2794.00,30.67,30.40,603.40,0.00,5.42,0.27,L0.010,0.82,0.01,2.45,2.41,0.04,0.00,0.08,495.00,0.00,8.24,1323.50,828.50,209.00,24.90,259.00,16.70,0.01,0.08,0.06,0.019,1270.00,32.00,37.10,103.00,7.472,36.539,4.890,1.96,,,,,,,,,,,,,,
961470,65,19-Sep-96 ,263,1010,3947.00,4525.00,57.90,46.20,605.60,27.12,2.78,11.70,L0.010,0.08,0.01,4.16,2.76,1.40,0.00,0.05,542.00,22.60,8.56,2412.10,1870.10,358.00,23.90,504.00,6.26,0.00,0.18,0.07,0.111,2500.00,60.80,57.30,135.00,9.750,272.034,27.901,24.8,,,,,,,,,,,,,,
