WEVS 1993 Data Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pond I.D.,Date,Julian,Time,TDS,Cond.,TOC,DOC,HCO3,CO3 ,Free CO2 ,POC ,NO3+NO2 ,NH3-tot  ,NH3(un-ion ,TN ,DN ,PN ,OH ,F-diss  ,Alk-tot  ,Alk-p ,pH ,Hard-tot ,Hard-nonCO3 ,Na-diss ,%Na ,Mg-diss ,SiO2 ,P-diss ortho ,P-tot  ,P-diss ,P-part ,SO4-diss ,Cl-diss ,K-diss ,Ca-diss ,PC:PN,PC:PP,PN:PP,Chl a,
,,,Days,,mg/L,usie/cm,mg/L,mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, pH units, mg/L, mg/L, mg/L,, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L,,,,mg/L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930939,90,21-Jul-93 ,202,1440,5229 ,5911,45.97,44.4,460.8,0,35.02,1.57,L0.01,0.049,0,1.53 ,1.29,0.235 ,0,0.06,378,0,7.32,2902.1,2524.1,525,27.3,620,3.71,0.002,0.079,0.039,0.04,3468,132,113,140,7.8,101.2,13.0,14.26,
930991,90,04-Aug-93 ,216,1530,8102 ,8369,56.76,56.2,707,0,21.81,0.556,L0.01,0.126,0,1.95 ,1.85,0.099 ,0,0.06,580,0,7.71,4558,3978,807,26.9,984,0.49,0.004,0.067,0.043,0.024,5405,188,167,203,6.5,59.7,9.1,7.26,
931289,90,14-Aug-93 ,230,1708,7621 ,7789,55.73,54.4,635.1,0,55.43,1.33,L0.01,,,1.67 ,1.5,0.174 ,0,0.06,521,0,7.26,4173.5,3652.5,778,27.8,910,1.11,L0.002,0.075,0.047,0.028,5085,183,179,171,8.9,122.5,13.7,4.89,
931364,90,27-Aug-93 ,239,1253,8892 ,17785,68.31,65.2,760.7,0,26.35,3.11,L0.01,,,1.06 ,0.510 ,0.551 ,0,0.07,624,0,7.66,4809.8,4185.8,922,28.4,1050,1.75,0.041,0.155,0.099,0.056,5932,222,193,195,6.6,143.2,21.8,66.7,
931480,90,15-Sep-93 ,258,1207,4664 ,8898,49.59,48.6,370.6,0,24.52,0.991,L0.01,0.039,0,0.99 ,0.394 ,0.197 ,0,0.03,304,0,7.38,2543.8,2239.8,462,27.2,556,3.35,L0.002,0.101,0.058,0.043,3070,171,117,102,5.9,59.4,10.1,19.11,
931708,90,14-Oct-93 ,287,1600,10830 ,19205,74,72.4,1053.2,0,62.09,1.6,L0.01,0.085,0,2.90 ,1.300 ,0.296 ,0,0.05,864,0,7.43,5978.5,5114.5,1110,27.8,1400,4.32,L0.002,0.181,0.053,0.128,7225,257,229,63.9,6.3,32.2,5.1,5.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930230,4857,29-Apr-93 ,119,1000,253 ,461,14.61,14.3,204.8,0,9.36,0.306,L0.01,0.016,0,0.39 ,0.346 ,0.041 ,0,0.09,168,0,7.54,199.2,31.2,8.22,7.4,26.8,4.26,0.056,0.108,0.099,0.009,49.2,7.7,20.5,35.6,8.7,87.7,10.1,,
930318,4857,13-May-93 ,133,1245,321 ,550,16.69,16.5,248.7,0,6.37,0.188,L0.01,0.025,0,0.69 ,0.660 ,0.032 ,0,0.1,204,0,7.79,242.8,38.8,8.81,6.6,33.5,2.82,0.134,0.195,0.185,0.01,78.3,8.7,23.9,42,6.9,48.5,7.1,2.66,
930411,4857,27-May-93 ,147,1135,349 ,605,17.07,16.8,293.8,0,8.45,0.27,L0.01,0.027,0,0.86 ,0.8,0.055 ,0,0.11,241,0,7.74,273.8,32.8,9.7,6.4,37.7,1.78,0.142,0.189,0.183,0.006,72.8,9.1,25.8,47.5,5.7,116.0,20.3,2.02,
930502,4857,09-Jun-93 ,160,1155,,653,19.18,18.8,,,,0.384,L0.01,0.03,,0.92 ,0.86,0.063 ,,0.19,279,0,7.52,,,10.9,,41.8,1.86,0.181,0.27,0.248,0.022,61.6,10.3,29,50.9,7.1,45.0,6.3,6.32,
930715,4857,23-Jun-93 ,174,1115,394 ,676,19.14,18.8,349.9,0,6.04,0.338,L0.01,0.032,0,0.93 ,0.88,0.047 ,0,0.13,287,0,7.96,315.2,28.2,11.9,6.8,45.2,1.69,0.213,0.276,0.267,0.009,70.2,10.4,30.5,51.7,8.4,96.8,11.5,3.94,
930760,4857,08-Jul-93 ,189,1350,405 ,673,18.24,17.8,316.9,0,3.28,0.438,L0.01,0.035,0,0.87 ,0.8,0.065 ,0,0.11,260,0,8.18,315.3,55.3,12.2,7.1,45.1,1.57,0.194,0.266,0.248,0.018,101,10.2,26.5,51.9,7.9,62.8,8.0,2.37,
930944,4857,22-Jul-93 ,203,1715,451 ,750,20.42,20.1,348.6,0,5.12,0.322,L0.01,0.025,0,0.85 ,0.81,0.037 ,0,0.1,286,0,8.03,350.7,64.7,14.2,7.4,50.8,0.99,0.172,0.238,0.229,0.009,118,9.9,29,56.7,10.1,92.3,9.1,1.61,
930984,4857,04-Aug-93 ,216,1225,493 ,773,21.12,21,373,0,3.43,0.119,L0.01,0.04,0,0.96 ,0.94,0.021 ,0,0.12,306,0,8.23,366.2,60.2,15.3,7.6,53.7,1.2,0.155,0.217,0.208,0.009,139,11.3,31.1,58.1,6.6,34.1,5.2,1.73,
931282,4857,18-Aug-93 ,230,1228,497 ,787,22.9,22.5,380.3,0,6.88,0.401,L0.01,,,1.04 ,0.98,0.056 ,0,0.14,312,0,7.94,368.1,56.1,16.6,8.1,54.9,3.28,0.187,0.247,0.231,0.016,134,11.8,32.6,56.9,8.4,64.6,7.7,1.42,
931372,4857,27-Aug-93 ,239,1742,505 ,836,23.24,23,390.1,0,7.93,0.24,L0.01,,,0.50 ,0.465 ,0.036 ,0,0.1,320,0,7.89,384.8,64.8,17.5,8.1,58.1,6.98,0.171,0.238,0.229,0.009,116,13.9,35.3,58.3,7.8,68.8,8.8,4.39,
931481,4857,15-Sep-93 ,258,1208,504 ,843,22,21.6,381.5,0,7.94,0.4,L0.01,0.048,0,0.51 ,0.445 ,0.063 ,0,0.1,313,0,7.88,383.3,70.3,17.7,8.3,57.8,6.74,0.139,0.217,0.194,0.023,128,13.6,34.3,58.2,7.4,44.8,6.1,4.19,
931700,4857,14-Oct-93 ,287,1045,558 ,935,23.17,22.8,415.7,0,9.06,0.368,L0.010,0.105,0,1.04 ,0.830 ,0.209 ,0,0.12,341,0,7.86,435.8,94.8,19.6,8.1,66.3,1.88,0.08,0.134,0.122,0.012,146,18.9,35.3,65.2,2.1,79.1,38.5,5.49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930242,Gursky's,29-Apr-93 ,119,1300,439 ,771,28.29,24.3,410.8,0,11.29,3.99,L0.01,0.048,0,1.36 ,0.690 ,0.670 ,0,0.18,337,0,7.76,337.4,0.4,11.7,6.1,55.7,15.03,0.147,0.235,0.231,0.004,57.3,11.1,42.7,43.3,6.9,2572.4,370.4,,
930410,Gursky's,13-May-93 ,133,1030,476 ,798,25.88,24.6,432.7,0,7.83,1.28,0.023,0.112,0,1.55 ,1.37,0.181 ,0,0.19,355,0,7.94,362.5,7.5,13.1,6.4,59.9,19.17,0.227,0.32,0.286,0.034,68,11.5,45.3,46.4,8.2,97.1,11.8,23.61,
930501,Gursky's,27-May-93 ,147,1115,813 ,812,25.83,25.4,,,,0.433,0.022,0.097,,1.38 ,1.31,0.070 ,,0.12,371,2.9,8.33,,,12.9,,61.3,17.43,0.238,0.327,0.314,0.013,58.5,11.9,47.6,47.5,7.2,85.9,11.9,17.53,
930714,Gursky's,09-Jun-93 ,160,1055,508 ,836,27.71,24.2,474.2,0,6.96,3.51,0.01,0.072,0,2.08 ,1.32,0.757 ,0,0.2,389,0,8.03,393.8,4.8,13.5,6,64.3,15.13,0.275,0.437,0.352,0.085,68.5,12,49.9,51.7,5.4,106.5,19.7,4.79,
930770,Gursky's,25-Jun-93 ,176,1830,458 ,819,29.97,25.4,452.2,0,11.33,4.57,L0.01,0.039,0,2.00 ,1.2,0.799 ,0,0.18,371,0,7.8,369.6,0,12.1,5.8,60.9,1.2,0.148,0.339,0.223,0.116,59.4,8.4,46.4,47.6,6.7,101.6,15.2,51.1,
930936,Gursky's,08-Jul-93 ,189,1230,483 ,818,32.6,25.9,448.6,0,14.5,6.7,L0.01,0.034,0,2.15 ,1.18,0.971 ,0,0.19,368,0,7.69,373.7,5.7,13,6.1,61.1,11.01,0.233,0.644,0.309,0.335,70,11,47.3,48.9,8.0,51.6,6.4,120.4,
930983,Gursky's,21-Jul-93 ,202,1156,464 ,820,27.62,25.2,436.4,0,8.87,2.42,L0.01,0.358,0.01,1.88 ,1.43,0.449 ,0,0.19,358,0,7.89,353.9,0,13.3,6.5,60.8,14.83,0.376,0.556,0.476,0.08,58.1,11.6,48.7,41.5,6.3,78.0,12.4,160.6,
931291,Gursky's,04-Aug-93 ,216,1803,497 ,789,32.27,26.8,454.7,0,8.23,5.47,L0.01,,,2.35 ,1.39,0.962 ,0,0.2,373,0,7.94,363.1,,13.8,6.6,61.7,14.22,0.294,0.591,0.374,0.217,63.9,11.5,49.7,43.7,6.6,65.0,9.8,54,
931363,Gursky's,19-Aug-93 ,230,1210,488 ,817,31.44,26.3,457.1,0,19.05,5.14,L0.01,,,1.59 ,0.672 ,0.913 ,0,0.19,375,0,7.58,363.1,,13.8,6.6,62.6,11.07,0.335,0.572,0.417,0.155,58,12.4,51.2,42.2,6.6,85.5,13.0,197,
931482,Gursky's,27-Aug-93 ,239,1209,474 ,816,32.62,25.2,444.9,0,16.52,7.42,L0.01,0.009,0,1.71 ,0.578 ,1.130 ,0,0.17,365,0,7.63,360.7,,14.1,6.8,61.3,9.46,0.186,0.498,0.3,0.198,65.6,12.1,49,43.4,7.7,96.6,12.6,140,
931709,Gursky's,15-Sep-93 ,258,1700,495 ,891,31.57,26.4,457.1,0,26.95,5.17,L0.01,0.055,0,1.81 ,1.010 ,0.803 ,0,0.17,375,0,7.43,382,7,14,6.4,65.8,10.5,0.129,0.348,0.203,0.145,67.5,17.1,50.5,44.5,7.5,91.9,12.2,30.58,
930316,Gursky's,14-Oct-93 ,287,1130,457 ,772,27.51,24.2,416.9,0,6.56,3.31,L0.01,0.046,0,1.60 ,1.090 ,0.505 ,0,0.19,342,0,8,351.3,9.3,12.2,6.1,58.1,16.18,0.153,0.326,0.224,0.102,64.8,11.3,44.3,44.9,7.6,83.7,10.9,102,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In this table values are as reported in the Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
