"","Depth_cm","Pond","Date","Depth_cm_sum","CharacteristicID","ResultValue"
"384","10-12",109,2023-07-28,-10,"Sr_ppm","780.5"
"385","10-12",109,2023-07-28,-10,"P_ppm","726.1"
"386","10-12",109,2023-07-28,-10,"S_ppm","6567"
"387","10-12",109,2023-07-28,-10,"As_ppm","113.7"
"388","10-12",109,2023-07-28,-10,"Se_ppm","88.84"
"389","10-12",109,2023-07-28,-10,"Mo_ppm","79.92"
"390","10-12",109,2023-07-28,-10,"Cd_ppm","1.544"
"391","10-12",109,2023-07-28,-10,"Cs_ppm","23.96"
"392","10-12",109,2023-07-28,-10,"Ba_ppm","650.5"
"393","10-12",109,2023-07-28,-10,"Ce_ppm","38.2"
"394","10-12",109,2023-07-28,-10,"Pb_ppm","13.88"
"395","10-12",109,2023-07-28,-10,"Th_ppm","44.43"
"396","10-12",109,2023-07-28,-10,"U_ppm","40.1"
"397","4-6",1,2023-07-28,-4,"Be_ppm","26.6"
"398","4-6",1,2023-07-28,-4,"B_ppm","129.9"
"399","4-6",1,2023-07-28,-4,"Al_ppm","13160"
"400","4-6",1,2023-07-28,-4,"Li_ppm","49.44"
"401","4-6",1,2023-07-28,-4,"Ga_ppm","28.91"
"402","4-6",1,2023-07-28,-4,"Na_ppm","9412"
"403","4-6",1,2023-07-28,-4,"Mg_ppm","5384"
"404","4-6",1,2023-07-28,-4,"K_ppm","11640"
"405","4-6",1,2023-07-28,-4,"Ti_ppm","1011"
"406","4-6",1,2023-07-28,-4,"Si_ppm","311400"
"407","4-6",1,2023-07-28,-4,"Ca_ppm","10490"
"408","4-6",1,2023-07-28,-4,"Fe_ppm","7581"
"409","4-6",1,2023-07-28,-4,"V_ppm","129.5"
"410","4-6",1,2023-07-28,-4,"Cr_ppm","64.9"
"411","4-6",1,2023-07-28,-4,"Mn_ppm","351.2"
"412","4-6",1,2023-07-28,-4,"Co_ppm","BDL"
"413","4-6",1,2023-07-28,-4,"Ni_ppm","1.594"
"414","4-6",1,2023-07-28,-4,"Cu_ppm","BDL"
"415","4-6",1,2023-07-28,-4,"Zn_ppm","162.9"
"416","4-6",1,2023-07-28,-4,"Rb_ppm","175.8"
"417","4-6",1,2023-07-28,-4,"Sr_ppm","817.6"
"418","4-6",1,2023-07-28,-4,"P_ppm","555"
"419","4-6",1,2023-07-28,-4,"S_ppm","6619"
"420","4-6",1,2023-07-28,-4,"As_ppm","110.3"
"421","4-6",1,2023-07-28,-4,"Se_ppm","88.6"
"422","4-6",1,2023-07-28,-4,"Mo_ppm","80.33"
"423","4-6",1,2023-07-28,-4,"Cd_ppm","1.387"
"424","4-6",1,2023-07-28,-4,"Cs_ppm","22.92"
"425","4-6",1,2023-07-28,-4,"Ba_ppm","440.3"
"426","4-6",1,2023-07-28,-4,"Ce_ppm","16.97"
"427","4-6",1,2023-07-28,-4,"Pb_ppm","8.376"
"428","4-6",1,2023-07-28,-4,"Th_ppm","41.97"
"429","4-6",1,2023-07-28,-4,"U_ppm","39.68"
"430","2-4",1,2023-07-28,-2,"Be_ppm","25.51"
