1997 Hydrolab Data from St.Denis NWA ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Deg. C,,mS/cm,ppt,,mg/l,mV,m,HHMM,,
ID,Month,Temperature,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
67,October,3.53,8.97,5.22,2.9,105.6,12.9,350,0.6,1355,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
86,April,7.76,7.86,0.25,0.1,73.9,8.33,316,0,1144,,
86,May,6.74,8.16,0.36,0.2,85.7,9.97,321,0,1221,,
86,June,18.31,7.68,0.405,0.2,44.8,4,306,0,1310,,
86,July,23.79,7.58,0.496,0.3,74.9,5.96,228,0,1213,,
86,August,21.75,7.75,0.509,0.3,124.9,10.39,347,0,1429,,
86,September,13.13,8.52,0.434,0.2,143.3,14.13,346,0,1441,,
86,October,8.89,8.31,0.487,0.2,79,8.59,331,0,1540,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
86,April,6.38,7.7,0.259,0.1,65.9,7.69,317,0.7,1146,,
86,May,6.21,8,0.364,0.2,79.3,9.35,311,0.8,1223,,
86,June,17.88,7.49,0.418,0.2,36.8,3.31,307,0.6,1310,,
86,July,21.21,7.31,0.493,0.2,23.2,1.94,184,0.4,1214,,
86,August,21.54,7.67,0.508,0.3,119.9,10.01,352,0.2,1431,,
86,September,13.19,8.49,0.428,0.2,141.6,13.95,349,0.3,1442,,
86,October,Low ,Water,Level,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
90,April,7.66,7.82,0.796,0.4,94.3,10.62,324,0,1122,,
90,May,7.92,8.25,1.241,0.7,90.9,10.24,341,0,1157,,
90,June,20.18,7.86,0.503,0.3,58.2,4.99,313,0,1255,,
90,July,24.73,7.85,1.95,1,74.1,5.76,228,0,1154,,
90,August,21.63,7.73,2.41,1.3,71.2,5.89,353,0,1414,,
90,September,12.54,8.26,2.74,1.5,115.9,11.48,357,0,1428,,
90,October,3.68,8.36,3.27,1.8,103.4,12.68,339,0,1528,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,Month,Temp.,pH,Sp/Cond,Salin,Do(%sat),Do,Redox,Depth,Time,,
90,April,7.66,7.75,0.785,0.4,91.6,10.33,328,0.4,1123,,
90,May,7.66,8.19,1.248,0.7,89.9,10.19,343,0.7,1158,,
90,June,20.2,7.77,1.52,0.8,55.9,4.78,311,0.8,1255,,
90,July,24.73,7.83,1.95,1,71.9,5.59,229,0.7,1155,,
90,August,20.77,7.68,2.46,1.3,55.2,4.65,354,0.8,1415,,
90,September,12.54,8.23,3.02,1.6,109.6,10.85,359,0.5,1429,,
90,October,3.56,8.34,3.28,1.8,97,11.93,340,0.7,1529,,
,,,,,,,,,,,,
,,,,,,,,,,,,
